customer_id,gender,age_years,children_count,family_size,family_status,education_level,housing_type,owns_car,owns_property,monthly_income,income_type,employment_years,occupation,organization_type,contract_type,current_credit_amount,current_loan_annuity,goods_price,bureau_account_count,active_credit_count,closed_credit_count,bureau_credit_amount,bureau_debt_amount,bureau_credit_limit,bureau_overdue_amount,bureau_overdue_days,bureau_overdue_account_count,credit_prolongation_count,total_installments,total_amount_due,total_amount_paid,total_late_payments,total_on_time_payments,average_payment_delay,total_payment_delay_days,payment_difference,on_time_payment_ratio,payment_coverage_ratio,previous_application_count,previous_approved_count,previous_refused_count,previous_credit_amount,previous_avg_credit,previous_avg_annuity,previous_avg_down_payment,avg_credit_card_balance,max_credit_card_balance,avg_credit_limit,total_card_drawings,total_card_payments,avg_minimum_payment,avg_credit_utilisation,max_card_dpd,max_card_dpd_default,pos_account_records,avg_pos_installments,avg_future_installments,pos_dpd_count,max_pos_dpd,max_pos_dpd_default,current_dti,bureau_dti,previous_approval_ratio,bureau_overdue_ratio,city_tier,occupation_band,indian_household_size,synthetic_spending_ratio,food_expense,rent_expense,education_expense,healthcare_expense,transport_expense,utility_expense,discretionary_expense,synthetic_total_expense,synthetic_total_emi,available_surplus,monthly_savings,savings_rate,savings_balance,fd_amount,rd_contribution,upi_spending,upi_transaction_count,digital_payment_ratio,sip_contribution,mutual_fund_balance,ppf_contribution,nps_contribution,health_insurance,life_insurance,insurance_premium,insurance_payment_consistency,cash_flow_mean,cash_flow_std,cash_flow_min,cash_flow_negative_months
307474,F,54.32443531827516,0,2.0,Married,Higher education,House / apartment,Y,N,67500.0,Working,8.216290212183436,Accountants,Agriculture,Cash loans,1030302.0,40860.0,832500.0,5.0,0.0,5.0,1198260.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,40455.63,40455.63,0.0,6.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,100480.5,100480.5,15619.905,0.0,,,,,,,,,,7.0,38.0,27.0,0.0,0.0,0.0,0.6053333333333333,0.0,1.0,0.0,Tier_2,Salaried,3,0.663638630614454,23499.12,4351.04,0.0,4038.44,4110.89,4350.89,3828.54,44178.92,33750.0,0.0,0.0,0.0,0.0,0.0,0.0,17894.18,65,0.405,0.0,0.0,0.0,0.0,1,0,112.06,0.75,-10001.5,3568.6,-15269.47,12
412537,F,46.050650239561946,0,2.0,Married,Secondary / secondary special,House / apartment,Y,Y,90000.0,Working,,Sales staff,Trade: type 7,Cash loans,253737.0,26775.0,229500.0,4.0,1.0,3.0,454311.0,25647.435,176852.565,0.0,0.0,0.0,2.0,14.0,109904.805,94204.215,2.0,12.0,8.0,8.0,-15700.59,0.8571428571428571,0.8571437345255287,2.0,1.0,0.0,77350.5,77350.5,7850.295,8596.35,,,,,,,,,,13.0,144.0,69.5,0.0,0.0,0.0,0.2975,0.2849715,0.5,0.0,Tier_2,Salaried,2,0.6586516085466922,32267.31,1224.21,0.0,4652.79,9355.22,4150.59,9213.8,60863.92,26775.0,2361.08,1103.16,0.0123,41454.44,0.0,0.0,34575.5,46,0.5681,0.0,0.0,143.65,0.0,0,0,0.0,0.0,-1156.75,6411.29,-14048.19,7
149084,M,44.01916495550992,0,2.0,Married,Secondary / secondary special,House / apartment,Y,Y,270000.0,Working,3.485284052019165,Drivers,Government,Cash loans,1006920.0,45499.5,900000.0,1.0,0.0,1.0,270000.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,208653.84000000003,208653.84000000003,0.0,36.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,629433.0,342006.75,20219.985,0.0,0.0,0.0,6682500.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,570.0,287.5,0.0,0.0,0.0,0.1685166666666666,0.0,1.0,0.0,Tier_3,Salaried,2,0.6569909585333409,113307.67,1298.04,0.0,14687.39,18189.86,9919.48,23234.44,180636.88,45499.5,43863.62,20507.72,0.076,123410.35,18902.52,0.0,44574.8,111,0.2468,5414.5,218361.96,0.0,0.0,1,0,319.18,0.9167,48780.24,13543.3,17226.38,0
364692,M,36.780287474332646,2,4.0,Married,Secondary / secondary special,House / apartment,Y,Y,202500.0,Working,11.227926078028748,Laborers,Business Entity Type 2,Cash loans,495351.0,29497.5,459000.0,,,,,,,,,,,40.0,1435420.0799999998,1435420.0799999998,0.0,40.0,0.0,0.0,0.0,1.0,1.0,7.0,4.0,3.0,1908495.0,1312065.0,130340.835,17955.0,,,,,,,,,,45.0,624.0,440.1666666666667,0.0,0.0,0.0,0.1456666666666666,,0.5714285714285714,,Tier_3,Salaried,4,0.667998621882975,107037.3,2359.85,3313.12,4860.97,10344.81,7353.67,15118.32,150388.04,29497.5,22614.46,12513.31,0.0618,347466.93,0.0,0.0,36419.08,57,0.2422,0.0,0.0,0.0,0.0,0,1,225.91,1.0,23086.38,17239.11,-2750.93,2
155423,M,59.41683778234086,0,2.0,Married,Secondary / secondary special,House / apartment,Y,Y,162000.0,Commercial associate,12.01368925393566,Drivers,Business Entity Type 3,Cash loans,264159.0,13617.0,220500.0,5.0,2.0,3.0,1002487.5,184833.0,0.0,0.0,0.0,0.0,0.0,128.0,1546515.765,1519515.765,7.0,121.0,51.0,51.0,-27000.0,0.9453125,0.9825414000871824,5.0,4.0,0.0,1159105.5,1134641.25,55747.53,0.0,4722451.866,6437637.36,5253750.0,413415.0,956100.465,254520.351,27.25455810277778,5.0,5.0,37.0,540.0,390.0,2.0,6.0,6.0,0.0840555555555555,1.1409444444444443,0.8,0.0,Tier_2,Other,2,0.6019706299795494,59979.96,2734.83,0.0,4745.09,11186.78,4757.88,12157.5,95562.04,13617.0,52820.96,30826.72,0.1903,684476.5,0.0,4553.16,54412.88,146,0.5694,0.0,0.0,0.0,0.0,1,0,240.89,0.75,53852.22,23588.01,22209.88,0
165164,F,58.73237508555784,0,2.0,Married,Higher education,House / apartment,Y,Y,90000.0,Pensioner,,,XNA,Cash loans,808650.0,23305.5,675000.0,12.0,5.0,7.0,3762958.5,1067097.105,3068.775,0.0,0.0,0.0,0.0,195.0,1497718.395,1552913.28,5.0,190.0,37.0,37.0,55194.885,0.9743589743589745,1.03685264545342,10.0,7.0,2.0,2217222.0,1152794.25,77482.8675,48701.25,56345.2125,120300.03,4541785.714285715,4500.0,56820.825,23949.70875,0.4173719444444445,1.0,1.0,98.0,1205.5,651.4166666666666,0.0,0.0,0.0,0.25895,11.8566345,0.7,0.0,Tier_3,Other,2,0.5671750975703461,32020.15,770.09,0.0,3379.85,8682.3,3045.46,3506.11,51403.96,23305.5,15290.54,8189.86,0.091,15467.06,5245.49,0.0,16847.31,29,0.3277,0.0,0.0,0.0,0.0,0,0,0.0,0.0,15056.26,10275.31,-1236.03,2
427814,M,53.53593429158111,0,2.0,Married,Incomplete higher,House / apartment,N,N,157500.0,State servant,7.567419575633128,Security staff,Military,Cash loans,1327500.0,38812.5,1327500.0,6.0,3.0,3.0,2222934.705,1339537.5,0.0,0.0,0.0,0.0,1.0,18.0,205791.885,205791.885,0.0,18.0,0.0,0.0,0.0,1.0,1.0,11.0,2.0,7.0,9372127.5,8001877.5,242243.82,0.0,0.0,0.0,202500.0,45000.0,66150.0,225.0,0.0,0.0,0.0,6.0,65.0,50.0,0.0,0.0,0.0,0.2464285714285714,8.505,0.1818181818181818,0.0,Tier_3,Salaried,2,0.6937434489875224,71248.44,4815.25,0.0,7541.47,11016.74,9722.09,11541.49,115885.48,38812.5,2802.02,1053.01,0.0067,10753.68,0.0,0.0,35383.79,62,0.3053,193.54,5736.91,0.0,0.0,1,0,250.97,0.9167,3280.79,11498.49,-21449.1,3
248940,M,39.25530458590007,0,1.0,Single / not married,Higher education,Co-op apartment,N,Y,270000.0,Working,6.669404517453799,Managers,Business Entity Type 3,Cash loans,1506816.0,49927.5,1350000.0,5.0,2.0,3.0,6442245.0,1361250.0,0.0,0.0,0.0,0.0,0.0,6.0,160742.02500000002,160742.02500000002,0.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,132084.0,132084.0,26790.615,0.0,,,,,,,,,,8.0,48.0,21.0,0.0,0.0,0.0,0.1849166666666666,5.041666666666667,1.0,0.0,Tier_2,Salaried,1,0.5136071111716909,77168.61,2875.78,0.0,5501.49,22433.44,8698.51,20594.66,137272.49,49927.5,82800.01,34181.78,0.1266,975092.24,155440.89,0.0,59318.19,229,0.4321,0.0,0.0,0.0,0.0,1,0,303.66,0.9167,87563.26,13130.43,68161.68,0
218738,F,32.50102669404517,0,2.0,Civil marriage,Secondary / secondary special,House / apartment,N,Y,202500.0,Commercial associate,,Laborers,Business Entity Type 3,Cash loans,980838.0,52389.0,927000.0,12.0,1.0,11.0,2043954.225,210735.0,0.0,0.0,0.0,0.0,0.0,27.0,185665.725,134726.04,13.0,14.0,165.5,175.0,-50939.685,0.5185185185185185,0.725637647982685,4.0,2.0,2.0,705510.0,400657.5,52441.47,19350.0,,,,,,,,,,25.0,221.0,88.16666666666667,5.0,56.0,56.0,0.2587111111111111,1.0406666666666666,0.5,0.0,Tier_2,Other,2,0.6865374856885732,74027.7,4024.65,0.0,4689.11,36438.55,8776.98,8960.44,136917.43,52389.0,13193.57,5031.12,0.0248,116233.86,0.0,0.0,70594.58,73,0.5156,0.0,0.0,0.0,0.0,1,0,289.05,0.8333,11463.35,16515.42,-16479.54,3
285243,F,32.818617385352496,1,3.0,Married,Secondary / secondary special,House / apartment,N,Y,112500.0,Working,3.600273785078713,Sales staff,Self-employed,Cash loans,269550.0,21739.5,225000.0,,,,,,,,,,,13.0,250251.165,250251.165,0.0,13.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,201226.5,201226.5,14198.535,0.0,,,,,,,,,,13.0,216.0,142.5,0.0,0.0,0.0,0.19324,,1.0,,Tier_3,Salaried,3,0.5105043474558134,40778.72,615.13,3940.45,1786.08,6875.46,3435.89,9836.52,67268.25,21739.5,23492.25,7037.5,0.0626,284351.59,0.0,0.0,32676.98,156,0.4858,0.0,0.0,0.0,0.0,1,0,159.1,1.0,24856.32,7627.58,12603.72,0
